Virus_name_ORF_8_replacement_L84S,GISAID_ID,Lineage,GISAID_Clade,Location,Collection_date
hCoV-19/Scotland/GCVR-172369/2020,EPI_ISL_469972,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/30
hCoV-19/Scotland/GCVR-171F57/2020,EPI_ISL_469944,A.5,S,Europe_/_United_Kingdom_/_Scotland,2020/03/31
hCoV-19/United_Arab_Emirates/L6841/2020,EPI_ISL_469280,A,O,Asia_/_United_Arab_Emirates,2020/03/27
hCoV-19/Saudi_Arabia/85613/2020,EPI_ISL_469243,A.p7_or_A,S,Asia_/_Saudi_Arabia_/_Jeddah,2020/03/15
hCoV-19/Canada/BC_19803546/2020,EPI_ISL_469223,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_19196568/2020,EPI_ISL_469220,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_19133870/2020,EPI_ISL_469218,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_18839283/2020,EPI_ISL_469212,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_18717764/2020,EPI_ISL_469211,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_18604452/2020,EPI_ISL_469210,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_18173416/2020,EPI_ISL_469209,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/USA/CT-Yale-264/2020,EPI_ISL_469190,A.1,S,North_America_/_USA_/_Connecticut_/_New_Haven,2-APR-2020
hCoV-19/India/GBRC198/2020,EPI_ISL_469043,A.p7_or_A,S,Asia_/_India_/_Gujarat_/_Nadiad,2020/06/08
hCoV-19/Spain/Palma2547/2020,EPI_ISL_469011,A.2,S,Europe_/_Spain_/_Balear_Islands_/_Palma,2020/03/25
hCoV-19/Spain/Palma2515/2020,EPI_ISL_469007,A.2,S,Europe_/_Spain_/_Balear_Islands_/_Palma,2020/03/21
hCoV-19/Spain/Palma2512/2020,EPI_ISL_469001,A.5,S,Europe_/_Spain_/_Balear_Islands_/_Palma,2020/03/20
hCoV-19/Spain/Ibiza2503/2020,EPI_ISL_468996,A.2,S,Europe_/_Spain_/_Balear_Islands_/_Ibiza,2020/03/19
hCoV-19/Spain/Palma2520/2020,EPI_ISL_468991,A.2,S,Europe_/_Spain_/_Balear_Islands_/_Palma,2020/03/20
hCoV-19/Spain/Palma2510/2020,EPI_ISL_468985,A.2,S,Europe_/_Spain_/_Balear_Islands_/_Palma,2020/03/18
hCoV-19/Spain/Palma_de_Mallorca_h2502/2020,EPI_ISL_468982,A.5,S,Europe_/_Spain_/_Balear_Islands_/_Palma_de_Mallorca_h,2020/03/15
hCoV-19/Spain/Palma2513/2020,EPI_ISL_468979,A.2,S,Europe_/_Spain_/_Balear_Islands_/_Palma,2020/03/20
hCoV-19/Spain/Santa_Maria_del_Camino2499/2020,EPI_ISL_468978,A.2,S,Europe_/_Spain_/_Balear_Islands_/_Santa_Maria_del_Camino,2020/03/20
hCoV-19/Spain/Palma2555/2020,EPI_ISL_468973,A.2,S,Europe_/_Spain_/_Balear_Islands_/_Palma,2020/03/25
hCoV-19/Spain/Lluchmayor2504/2020,EPI_ISL_468961,A.5,S,Europe_/_Spain_/_Balear_Islands_/_Lluchmayor,2020/03/16
hCoV-19/Spain/Palma2553/2020,EPI_ISL_468960,A.5,S,Europe_/_Spain_/_Balear_Islands_/_Palma,2020/03/25
hCoV-19/Spain/Palma2556/2020,EPI_ISL_468955,A.2,S,Europe_/_Spain_/_Balear_Islands_/_Palma,2020/03/25
hCoV-19/Spain/Palma_de_Mallorca_h2536/2020,EPI_ISL_468954,A.5,S,Europe_/_Spain_/_Balear_Islands_/_Palma_de_Mallorca_h,2020/03/21
hCoV-19/Spain/Donostia-San_Sebastian2090/2020,EPI_ISL_468901,A.2,S,Europe_/_Spain_/_Basque_Country_/_Donostia-San_Sebastian,10-APR-2020
hCoV-19/Spain/Donostia-San_Sebastian2093/2020,EPI_ISL_468888,A.5,S,Europe_/_Spain_/_Basque_Country_/_Donostia-San_Sebastian,11-APR-2020
hCoV-19/Spain/Zaragoza2482/2020,EPI_ISL_468857,A.2,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/23
hCoV-19/Spain/Zaragoza2477/2020,EPI_ISL_468855,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/26
hCoV-19/Spain/Zaragoza2443/2020,EPI_ISL_468848,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/24
hCoV-19/Spain/Zaragoza2413/2020,EPI_ISL_468845,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/23
hCoV-19/Spain/Zaragoza2400/2020,EPI_ISL_468837,A.2,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/28
hCoV-19/Spain/Zaragoza2397/2020,EPI_ISL_468834,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/17
hCoV-19/Spain/Zaragoza2401/2020,EPI_ISL_468827,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/28
hCoV-19/Spain/Zaragoza2410/2020,EPI_ISL_468825,A.2,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/28
hCoV-19/Spain/Zaragoza2389/2020,EPI_ISL_468822,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/27
hCoV-19/Spain/Alcaniz2449/2020,EPI_ISL_468821,A.2,S,Europe_/_Spain_/_Aragon_/_Alcaniz,2020/03/27
hCoV-19/Spain/Zaragoza2437/2020,EPI_ISL_468818,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/18
hCoV-19/Spain/Zaragoza2425/2020,EPI_ISL_468817,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/23
hCoV-19/Spain/Zaragoza2486/2020,EPI_ISL_468804,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/24
hCoV-19/Spain/Zaragoza2399/2020,EPI_ISL_468802,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/27
hCoV-19/Spain/Zaragoza2415/2020,EPI_ISL_468798,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/23
hCoV-19/Spain/Zaragoza2403/2020,EPI_ISL_468796,A.2,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/23
hCoV-19/Spain/Zaragoza2455/2020,EPI_ISL_468792,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/23
hCoV-19/Spain/Alcaniz2469/2020,EPI_ISL_468790,A.5,S,Europe_/_Spain_/_Aragon_/_Alcaniz,2020/03/27
hCoV-19/Spain/Zaragoza2405/2020,EPI_ISL_468789,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/23
hCoV-19/Spain/Zaragoza2472/2020,EPI_ISL_468779,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/24
hCoV-19/Spain/Zaragoza2442/2020,EPI_ISL_468776,A.2,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/24
hCoV-19/Spain/Zaragoza2468/2020,EPI_ISL_468766,A.5,S,Europe_/_Spain_/_Aragon_/_Zaragoza,2020/03/27
hCoV-19/Spain/Logrono_h2285/2020,EPI_ISL_468764,A.2,S,Europe_/_Spain_/_La_Rioja_/_Logrono_h,2020/03/01
hCoV-19/Spain/Logrono_h2286/2020,EPI_ISL_468763,A.2,S,Europe_/_Spain_/_La_Rioja_/_Logrono_h,2020/03/02
hCoV-19/Spain/Logrono_h2287/2020,EPI_ISL_468762,A.2,S,Europe_/_Spain_/_La_Rioja_/_Logrono_h,2020/03/03
hCoV-19/Spain/Logrono_h2361/2020,EPI_ISL_468761,A.2,S,Europe_/_Spain_/_La_Rioja_/_Logrono_h,4-APR-2020
hCoV-19/Shanghai/CH-03/2020,EPI_ISL_468726,A,S,Asia_/_China_/_Shanghai,2020/01/23
hCoV-19/Canada/BC_17906513/2020,EPI_ISL_468693,A.2,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_17847248/2020,EPI_ISL_468692,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_17607523/2020,EPI_ISL_468689,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_17080413/2020,EPI_ISL_468688,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_16943416/2020,EPI_ISL_468686,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_16917931/2020,EPI_ISL_468685,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_16223737/2020,EPI_ISL_468679,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_15820631/2020,EPI_ISL_468677,A.2,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_15710616/2020,EPI_ISL_468675,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_15708725/2020,EPI_ISL_468674,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_15682745/2020,EPI_ISL_468673,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_15678040/2020,EPI_ISL_468672,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_15478567/2020,EPI_ISL_468670,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_15474127/2020,EPI_ISL_468669,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_15467213/2020,EPI_ISL_468668,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_15222496/2020,EPI_ISL_468665,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/Canada/BC_15222281/2020,EPI_ISL_468664,A.1,S,North_America_/_Canada_/_British_Columbia,APR-2020
hCoV-19/USA/CA-CZB-1675/2020,EPI_ISL_468615,A.1,S,North_America_/_USA_/_California_/_Contra_Costa_County,2020/03/30
hCoV-19/USA/WA-QDX-104/2020,EPI_ISL_468590,A.1,S,North_America_/_USA_/_Washington,2020/03/13
hCoV-19/USA/CA-QDX-99/2020,EPI_ISL_468570,A.1,S,North_America_/_USA_/_California,2020/03/13
hCoV-19/USA/CA-QDX-92/2020,EPI_ISL_468567,A.1,S,North_America_/_USA_/_California,2020/03/13
hCoV-19/USA/CA-QDX-84/2020,EPI_ISL_468565,A.1,S,North_America_/_USA_/_California,2020/03/13
hCoV-19/USA/CA-QDX-111/2020,EPI_ISL_468563,A.3,S,North_America_/_USA_/_California,2020/03/13
hCoV-19/USA/CA-CZB-1632/2020,EPI_ISL_468559,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/28
hCoV-19/USA/CA-CZB-1620/2020,EPI_ISL_468549,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,21-APR-2020
hCoV-19/USA/CA-CZB-1619/2020,EPI_ISL_468548,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,20-APR-2020
hCoV-19/USA/CA-CZB-1617/2020,EPI_ISL_468546,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,17-APR-2020
hCoV-19/USA/CA-CZB-1616/2020,EPI_ISL_468545,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,16-APR-2020
hCoV-19/USA/CA-CZB-1615/2020,EPI_ISL_468544,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,14-APR-2020
hCoV-19/USA/CA-CZB-1614/2020,EPI_ISL_468543,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,14-APR-2020
hCoV-19/USA/CA-CZB-1611/2020,EPI_ISL_468540,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,9-APR-2020
hCoV-19/USA/CA-CZB-1608/2020,EPI_ISL_468537,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,6-APR-2020
hCoV-19/USA/CA-CZB-1607/2020,EPI_ISL_468536,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,6-APR-2020
hCoV-19/USA/CA-CZB-1605/2020,EPI_ISL_468534,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,4-APR-2020
hCoV-19/USA/CA-CZB-1604/2020,EPI_ISL_468533,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,3-APR-2020
hCoV-19/USA/CA-CZB-1603/2020,EPI_ISL_468532,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,3-APR-2020
hCoV-19/USA/CA-CZB-1602/2020,EPI_ISL_468531,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,1-APR-2020
hCoV-19/USA/CA-CZB-1601/2020,EPI_ISL_468530,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2-APR-2020
hCoV-19/USA/CA-CZB-1599/2020,EPI_ISL_468528,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/31
hCoV-19/USA/CA-CZB-1594/2020,EPI_ISL_468524,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/28
hCoV-19/USA/CA-CZB-1588/2020,EPI_ISL_468518,A.2,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/24
hCoV-19/USA/CA-CZB-1587/2020,EPI_ISL_468517,A.2,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/24
hCoV-19/USA/CA-CZB-1585/2020,EPI_ISL_468515,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/22
hCoV-19/USA/CA-CZB-1584/2020,EPI_ISL_468514,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/22
hCoV-19/USA/CA-CZB-1582/2020,EPI_ISL_468512,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/21
hCoV-19/USA/CA-CZB-1581/2020,EPI_ISL_468511,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/21
hCoV-19/USA/CA-CZB-1578/2020,EPI_ISL_468509,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/18
hCoV-19/USA/CA-CZB-1577/2020,EPI_ISL_468508,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/14
hCoV-19/USA/CA-CZB-1576/2020,EPI_ISL_468507,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/13
hCoV-19/USA/CA-CZB-1575/2020,EPI_ISL_468506,A.1,S,North_America_/_USA_/_California_/_San_Joaquin_County,2020/03/11
hCoV-19/USA/CA-CZB-1555/2020,EPI_ISL_468495,A.1,S,North_America_/_USA_/_California_/_Ventura_County,2020/03/18
hCoV-19/USA/CA-CZB-1513/2020,EPI_ISL_468460,A.3,S,North_America_/_USA_/_California_/_Humboldt_County,13-APR-2020
hCoV-19/USA/CA-CZB-1508/2020,EPI_ISL_468455,A.3,S,North_America_/_USA_/_California_/_Humboldt_County,1-APR-2020
hCoV-19/USA/CA-CZB-1497/2020,EPI_ISL_468446,A.1,S,North_America_/_USA_/_California_/_Humboldt_County,2020/03/27
hCoV-19/USA/CA-CZB-1437/2020,EPI_ISL_468407,B,O,North_America_/_USA_/_California_/_San_Luis_Obispo_County,2020/03/26
hCoV-19/USA/CA-CZB-1430/2020,EPI_ISL_468400,A.1,S,North_America_/_USA_/_California_/_San_Luis_Obispo_County,2020/03/23
hCoV-19/USA/CA-CZB-1391/2020,EPI_ISL_468376,A.1,S,North_America_/_USA_/_California_/_Alameda_County,18-APR-2020
hCoV-19/USA/CA-CZB-1360/2020,EPI_ISL_468372,A.1,S,North_America_/_USA_/_California_/_Alameda_County,12-APR-2020
hCoV-19/USA/CA-CZB-1356/2020,EPI_ISL_468370,A.1,S,North_America_/_USA_/_California_/_Alameda_County,12-APR-2020
hCoV-19/USA/CA-CZB-1353/2020,EPI_ISL_468367,A.1,S,North_America_/_USA_/_California_/_Alameda_County,11-APR-2020
hCoV-19/USA/CA-CZB-1352/2020,EPI_ISL_468366,A.1,S,North_America_/_USA_/_California_/_Alameda_County,11-APR-2020
hCoV-19/USA/CA-CZB-1334/2020,EPI_ISL_468359,A.1,S,North_America_/_USA_/_California_/_Alameda_County,1-APR-2020
hCoV-19/USA/CA-CZB-1330/2020,EPI_ISL_468358,A.1,S,North_America_/_USA_/_California_/_Alameda_County,2-APR-2020
hCoV-19/Spain/ACoruna_007/2020,EPI_ISL_468337,A.2,S,Europe_/_Spain_/_Galicia_/_A_Coruna,29-APR-2020
hCoV-19/Pakistan/NIH-HAS001/2020,EPI_ISL_468163,A,S,Asia_/_Pakistan_/_Islamabad,2020/06/02
hCoV-19/Pakistan/NIH-44905/2020,EPI_ISL_468159,A,S,Asia_/_Pakistan_/_Islamabad,2020/06/02
hCoV-19/USA/OR-OHSU-0188/2020,EPI_ISL_468129,A.1,S,North_America_/_USA_/_Oregon_/_Marion_County,13-MAY-2020
hCoV-19/USA/OR-OHSU-0049/2020,EPI_ISL_468086,A.1,S,North_America_/_USA_/_Oregon_/_Washington_County,16-APR-2020
hCoV-19/Australia/VIC1358/2020,EPI_ISL_468067,A.1,S,Oceania_/_Australia_/_Victoria,2020/03/22
hCoV-19/USA/KY-9E09/2020,EPI_ISL_468065,A.1,S,North_America_/_USA_/_Kentucky,2020/03/18
hCoV-19/USA/KY-9A10/2020,EPI_ISL_468064,A.1,S,North_America_/_USA_/_Kentucky,2020/03/18
hCoV-19/Egypt/CUNCI-HGC028/2020,EPI_ISL_468062,SARS-CoV-2_or_A,O,Africa_/_Egypt,2-MAY-2020
hCoV-19/Australia/SAP270/2020,EPI_ISL_468042,A.2,S,Oceania_/_Australia_/_South_Australia,2020/03/25
hCoV-19/Australia/SAP293/2020,EPI_ISL_468034,A.2,S,Oceania_/_Australia_/_South_Australia,2020/03/25
hCoV-19/Australia/SAP237/2020,EPI_ISL_468033,A.2,S,Oceania_/_Australia_/_South_Australia,2020/03/25
hCoV-19/Australia/SAP294/2020,EPI_ISL_468030,A.2,S,Oceania_/_Australia_/_South_Australia,2020/03/25
hCoV-19/Australia/SAP253/2020,EPI_ISL_468027,A.2,S,Oceania_/_Australia_/_South_Australia,7-APR-2020
hCoV-19/Australia/SAP263/2020,EPI_ISL_468022,A,S,Oceania_/_Australia_/_South_Australia,2020/03/25
hCoV-19/Australia/SAP269/2020,EPI_ISL_468018,A.2,S,Oceania_/_Australia_/_South_Australia,2020/03/25
hCoV-19/Australia/SAP243/2020,EPI_ISL_468015,A.1,S,Oceania_/_Australia_/_South_Australia,2020/03/25
hCoV-19/Australia/SAP022/2020,EPI_ISL_468011,A.2,S,Oceania_/_Australia_/_South_Australia,3-APR-2020
hCoV-19/Australia/SAP229/2020,EPI_ISL_468008,A.2,S,Oceania_/_Australia_/_South_Australia,2020/03/30
hCoV-19/Australia/SAP302/2020,EPI_ISL_468006,A.2,S,Oceania_/_Australia_/_South_Australia,2020/03/31
hCoV-19/Australia/SAP216/2020,EPI_ISL_468000,A.3,S,Oceania_/_Australia_/_South_Australia,2020/03/15
hCoV-19/Australia/SAP286/2020,EPI_ISL_467998,A.2,S,Oceania_/_Australia_/_South_Australia,6-APR-2020
hCoV-19/Australia/SAP248/2020,EPI_ISL_467992,A.1,S,Oceania_/_Australia_/_South_Australia,2020/03/20
hCoV-19/Australia/SAP170/2020,EPI_ISL_467985,A.3,S,Oceania_/_Australia_/_South_Australia,2020/03/13
hCoV-19/USA/CA-SR0460/2020,EPI_ISL_467982,A.1,S,North_America_/_USA_/_California_/_San_Diego,2020/03/08
hCoV-19/USA/CA-SR0455/2020,EPI_ISL_467978,A.1,S,North_America_/_USA_/_California_/_San_Diego,2020/03/16
hCoV-19/USA/CA-SR0449/2020,EPI_ISL_467973,A.1,S,North_America_/_USA_/_California_/_San_Diego,2020/03/10
hCoV-19/USA/CA-SR0445/2020,EPI_ISL_467970,A.1,S,North_America_/_USA_/_California_/_San_Diego,2020/03/21
hCoV-19/USA/CA-SR0443/2020,EPI_ISL_467968,A.1,S,North_America_/_USA_/_California_/_San_Diego,2020/03/12
hCoV-19/USA/CA-SR0436/2020,EPI_ISL_467964,A.1,S,North_America_/_USA_/_California_/_San_Diego,2020/03/12
hCoV-19/USA/CA-SR0428/2020,EPI_ISL_467958,A.1,S,North_America_/_USA_/_California_/_San_Diego,2020/03/10
hCoV-19/USA/CA-SR0425/2020,EPI_ISL_467956,A.5,S,North_America_/_USA_/_California_/_San_Diego,2020/03/26
hCoV-19/USA/CA-SR0421/2020,EPI_ISL_467954,A.1,S,North_America_/_USA_/_California_/_San_Diego,2020/03/10
hCoV-19/USA/CA-SR0416/2020,EPI_ISL_467951,A.1,S,North_America_/_USA_/_California_/_San_Diego,2020/03/10
hCoV-19/USA/CA-SR0415/2020,EPI_ISL_467950,A.1,S,North_America_/_USA_/_California_/_San_Diego,2020/03/08
hCoV-19/USA/WA-QDX-62/2020,EPI_ISL_467927,A,S,North_America_/_USA_/_Washington,2020/03/13
hCoV-19/USA/UT-QDX-63/2020,EPI_ISL_467921,A.3,S,North_America_/_USA_/_Utah,2020/03/13
hCoV-19/USA/UT-QDX-57/2020,EPI_ISL_467920,A.3,S,North_America_/_USA_/_Utah,2020/03/12
hCoV-19/USA/UT-QDX-49/2020,EPI_ISL_467919,A.3,S,North_America_/_USA_/_Utah,2020/03/13
hCoV-19/USA/UT-QDX-20/2020,EPI_ISL_467917,A.1,S,North_America_/_USA_/_Utah,2020/03/12
hCoV-19/USA/UT-QDX-120/2020,EPI_ISL_467911,A.1,S,North_America_/_USA_/_Utah,2020/03/13
hCoV-19/USA/UT-QDX-119/2020,EPI_ISL_467910,A.3,S,North_America_/_USA_/_Utah,2020/03/13
hCoV-19/USA/UT-QDX-118/2020,EPI_ISL_467909,A.1,S,North_America_/_USA_/_Utah,2020/03/13
hCoV-19/USA/PA-QDX-30/2020,EPI_ISL_467904,A.1,S,North_America_/_USA_/_Pennsylvania,2020/03/13
hCoV-19/USA/NY-QDX-81/2020,EPI_ISL_467903,A.1,S,North_America_/_USA_/_New_York,2020/03/15
hCoV-19/USA/NY-QDX-19/2020,EPI_ISL_467897,A.3,S,North_America_/_USA_/_New_York,2020/03/16
hCoV-19/USA/NY-QDX-139/2020,EPI_ISL_467891,A.1,S,North_America_/_USA_/_New_York,2020/03/16
hCoV-19/USA/NY-QDX-137/2020,EPI_ISL_467890,A.1,S,North_America_/_USA_/_New_York,2020/03/16
hCoV-19/USA/MI-QDX-58/2020,EPI_ISL_467871,A.3,S,North_America_/_USA_/_Michigan,2020/03/15
hCoV-19/USA/MA-QDX-61/2020,EPI_ISL_467862,A.3,S,North_America_/_USA_/_Massachusetts,2020/03/14
